Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
San Bernardino,Montclair,Sales Tax Revenue Bond,Sales Tax: 0.25% Rate Increase,Special Tax Fees/Levy,F,64,36,Pass,Majority,2004,General,11/2/2004 0:00
Contra Costa,Pinole,PLF Debt,Utility Users Tax: Extend 8% Utility Users Tax for Eight Years,Special Tax Fees/Levy,P,62.3,37.7,Pass,Majority,2004,General,11/2/2004 0:00
Fresno,Sanger,Sales Tax Revenue Bond,Sales Tax: Increase from 0.9600% to 1.46%,Special Tax Fees/Levy,S,40.3,59.7,Fail,Majority,2004,General,11/2/2004 0:00
Ventura,Santa Paula,PLF Debt,Utility Users Tax: $6/Month Per Utility,Special Tax Fees/Levy,J,39.2,60.8,Fail,Majority,2004,General,11/2/2004 0:00
El Dorado,South Lake Tahoe,Sales Tax Revenue Bond,Sales Tax: Increase Sales Tax 1/2 of 1%,Special Tax Fees/Levy,Q,58.1,41.9,Pass,55%,2004,General,11/2/2004 0:00
Nevada,Nisenan Recreation & Park District,PLF Debt,Parcel Tax: $25 Fee,Special Tax Fees/Levy,K,19.8,80.2,Fail,two-thirds,2004,General,11/2/2004 0:00
Multiple,San Juan,Sales Tax Revenue Bond,Sales Tax: .75% Rate Increase,Special Tax Fees/Levy,K,53.8,46.2,Pass,Majority,2004,General,11/2/2004 0:00
Nevada,San Juan Ridge Recreation and Park District,PLF Debt,Parcel Tax: $25 Fee,Special Tax Fees/Levy,O,36,64.1,Fail,two-thirds,2004,General,11/2/2004 0:00
Fresno,Coalinga,Sales Tax Revenue Bond,Sales Tax: .75% Tax for 10 Years,Special Tax Fees/Levy,C,34.9,65.1,Fail,Majority,2004,Primary,3/2/2004 0:00
Fresno,Coalinga,PLF Debt,Utility Users Tax: 8% for 10 Years,Special Tax Fees/Levy,D,23.4,76.6,Fail,Majority,2004,Primary,3/2/2004 0:00
Fresno,Coalinga,PLF Debt,TOT: 10% for 10 Years,Special Tax Fees/Levy,E,46.3,53.7,Fail,Majority,2004,Primary,3/2/2004 0:00
San Bernardino,Colton,PLF Debt,"Utility Users Tax: 4% for Residential, 6% for Commercial/Industrial",Special Tax Fees/Levy,W,54,46,Pass,Majority,2004,Primary,3/2/2004 0:00
Yolo,Davis,Sales Tax Revenue Bond,Sales Tax: Increase by 1/2› from 7/1/2004 to 12/31/2010,Special Tax Fees/Levy,P,68.5,31.5,Pass,Majority,2004,Primary,3/2/2004 0:00
El Dorado,El Dorado County,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,H,59.8,40.2,Pass,Majority,2004,Primary,3/2/2004 0:00
Marin,Marin County,PLF Debt,TOT: Approve an Ordinance to Sustain 10% TOT,Special Tax Fees/Levy,A,79.1,20.9,Pass,Majority,2004,Primary,3/2/2004 0:00
Alameda,Oakland,PLF Debt,Utility Users Tax: 7.5% Tax on Cell Phones,Special Tax Fees/Levy,O,61.2,38.8,Pass,Majority,2004,Primary,3/2/2004 0:00
Butte,Paradise,PLF Debt,TOT: Increase from 6% to 10%,Special Tax Fees/Levy,C,62.8,37.2,Pass,Majority,2004,Primary,3/2/2004 0:00
Imperial,Calexico,PLF Debt,TOT: Increase from 7% to 10%,Special Tax Fees/Levy,H,49.9,50.1,Fail,Majority,2004,Primary,3/2/2004 0:00
Santa Cruz,Santa Cruz,Sales Tax Revenue Bond,Sales Tax: Increase by 1/4 for 5 Yrs,Special Tax Fees/Levy,F,69,31,Pass,Majority,2004,Primary,3/2/2004 0:00
Lassen,Susanville,PLF Debt,TOT: Increase from 8% to 10%,Special Tax Fees/Levy,H,55.4,44.6,Pass,Majority,2004,Primary,3/2/2004 0:00
Marin,Ross,PLF Debt,"General Municipal Services Tax: Maximum of $1,000/Yr",Special Tax Fees/Levy,D,64.6,35.4,Pass,Majority,2004,Primary,3/2/2004 0:00
Siskiyou,Yreka,PLF Debt,TOT: Increase by 2%,Special Tax Fees/Levy,L,64.9,35.1,Pass,Majority,2004,Primary,3/2/2004 0:00
Humboldt,Arcata,PLF Debt,Utility Users Tax: 3% Beginning 12/1/04 to Replace Utility Users Tax Which Expires 12/1/04,Special Tax Fees/Levy,G,66.6,33.4,Pass,Majority,2004,Primary,3/2/2004 0:00
San Bernardino,Morongo Valley Community Services District,PLF Debt,Parcel Tax: $49.50 Per Year Per Parcel,Special Tax Fees/Levy,Z,56.2,43.8,Pass,Majority,2004,Primary,3/2/2004 0:00
Alameda,Alameda County,PLF Debt,Business License Tax: Continue at Existing Rate,Special Tax Fees/Levy,B,65.3,34.7,Pass,Majority,2002,General,11/5/2002 0:00
Alameda,Alameda County,PLF Debt,TOT: Impose 10% Tax,Special Tax Fees/Levy,A,54,46,Pass,Majority,2002,General,11/5/2002 0:00
San Bernardino,Barstow,PLF Debt,TOT: Increase to 12.5%,Special Tax Fees/Levy,Y,62.3,37.7,Pass,Majority,2002,General,11/5/2002 0:00
Alameda,Albany,PLF Debt,Property Tax: Increase to 1.15%,Special Tax Fees/Levy,H,58.2,41.8,Pass,Majority,2002,General,11/5/2002 0:00
Santa Cruz,Capitola,PLF Debt,Transient Occupancy Tax: Increase Tax to 11%,Special Tax Fees/Levy,W,51.8,48.2,Fail,two-thirds,2002,General,11/5/2002 0:00
Riverside,Cathedral City,PLF Debt,Utility Users Tax: Impose 4% Tax for 4 Yrs,Special Tax Fees/Levy,O,33.3,66.7,Fail,Majority,2002,General,11/5/2002 0:00
Los Angeles,Whittier,PLF Debt,Utility Users Tax: Increase to 7.5%,Special Tax Fees/Levy,W,32.8,67.2,Fail,Majority,2002,General,11/5/2002 0:00
San Diego,Del Mar,PLF Debt,TOT: Increase to 10.5%,Special Tax Fees/Levy,G,82.1,17.9,Pass,Majority,2002,General,11/5/2002 0:00
El Dorado,El Dorado County,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,V,45.1,54.9,Fail,Majority,2002,General,11/5/2002 0:00
Solano,Fairfield,PLF Debt,Utility Users Tax: Continue 2% Tax,Special Tax Fees/Levy,H,57.9,42.1,Pass,Majority,2002,General,11/5/2002 0:00
Los Angeles,Gardena,PLF Debt,TOT: Increase to 11%,Special Tax Fees/Levy,L,52.8,47.2,Pass,Majority,2002,General,11/5/2002 0:00
Sonoma,Healdsburg,PLF Debt,TOT: Continue 10%Tax,Special Tax Fees/Levy,P,90,10,Pass,Majority,2002,General,11/5/2002 0:00
Humboldt,Humboldt County,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,B,61.3,38.7,Pass,Majority,2002,General,11/5/2002 0:00
Orange,Irvine,PLF Debt,Utility Users Tax: Repeal 1.5% Tax,Special Tax Fees/Levy,GG,30.5,69.5,Fail,Majority,2002,General,11/5/2002 0:00
San Joaquin,Lodi,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,U,39.4,60.6,Fail,Majority,2002,General,11/5/2002 0:00
Riverside,Moreno Valley,PLF Debt,Utility Users Tax: Repeal 6% Tax,Special Tax Fees/Levy,F,46.4,53.6,Fail,Majority,2002,General,11/5/2002 0:00
Alameda,Oakland,PLF Debt,Utility Users Tax: Increase to 8%,Special Tax Fees/Levy,HH,33.1,66.9,Fail,Majority,2002,General,11/5/2002 0:00
Alameda,Oakland,PLF Debt,TOT: Increase to 14%,Special Tax Fees/Levy,II,43.4,56.6,Fail,Majority,2002,General,11/5/2002 0:00
Alameda,Oakland,PLF Debt,Parking Tax: 10% Surcharge for 5 Years,Special Tax Fees/Levy,GG,43.7,56.3,Fail,Majority,2002,General,11/5/2002 0:00
Monterey,Pacific Grove,PLF Debt,Utility Users Tax: Reduce to 3%,Special Tax Fees/Levy,P,38.2,61.8,Fail,Majority,2002,General,11/5/2002 0:00
Humboldt,Eureka,PLF Debt,Utility Users Tax: Continue 3% Tax,Special Tax Fees/Levy,X,51.2,48.8,Pass,Majority,2002,General,11/5/2002 0:00
Riverside,Palm Springs,PLF Debt,Utility Users Tax: Repeal 5% Tax,Special Tax Fees/Levy,U,41.2,58.8,Fail,Majority,2002,General,11/5/2002 0:00
Riverside,Palm Springs,PLF Debt,Transient Occupancy Tax: Change Tax to 10-12.5% Variable,Special Tax Fees/Levy,V,26.7,73.3,Fail,two-thirds,2002,General,11/5/2002 0:00
Orange,Placentia,PLF Debt,Utility Users Tax: Increase to 5%,Special Tax Fees/Levy,Z,37.2,62.8,Fail,Majority,2002,General,11/5/2002 0:00
Contra Costa,Richmond,PLF Debt,Utility Users Tax: Increase to 10%,Special Tax Fees/Levy,J,54.8,45.2,Pass,Majority,2002,General,11/5/2002 0:00
Sonoma,Rohnert Park,PLF Debt,Business License Tax: Continue at Existing Rate,Special Tax Fees/Levy,U,66.1,33.9,Pass,Majority,2002,General,11/5/2002 0:00
Sonoma,Rohnert Park,PLF Debt,Utility Users Tax: Impose 4% Tax,Special Tax Fees/Levy,S,21.1,78.9,Fail,Majority,2002,General,11/5/2002 0:00
Sonoma,Rohnert Park,PLF Debt,TOT: Increase to 12%,Special Tax Fees/Levy,T,59.2,40.8,Pass,Majority,2002,General,11/5/2002 0:00
Sacramento,Sacramento,PLF Debt,Utility Users Tax: Reduce to 2.5% Over 4 Yrs,Special Tax Fees/Levy,T,46.2,53.8,Fail,Majority,2002,General,11/5/2002 0:00
Sacramento,Sacramento County,PLF Debt,Utility Users Tax: Continue 2.5% Tax,Special Tax Fees/Levy,G,52.7,47.3,Pass,Majority,2002,General,11/5/2002 0:00
Sacramento,Sacramento County,PLF Debt,TOT: Continue 12%Tax,Special Tax Fees/Levy,H,61.8,38.2,Pass,Majority,2002,General,11/5/2002 0:00
Monterey,Salinas,PLF Debt,"Utility Users Tax: Reduce to 3%, Repeal Tax by 2005",Special Tax Fees/Levy,O,33.8,66.2,Fail,Majority,2002,General,11/5/2002 0:00
San Bernardino,San Bernardino,PLF Debt,TOT: Continue to Collect Tax,Special Tax Fees/Levy,E,63.4,36.6,Pass,Majority,2002,General,11/5/2002 0:00
San Francisco,San Francisco City & County,PLF Debt,Property Tax: Increase Tax to $7.50 Per $500 of Value,Special Tax Fees/Levy,Prop L,55.3,44.7,Pass,Majority,2002,General,11/5/2002 0:00
Monterey,King City,PLF Debt,Utility Users Tax: Repeal 2% Tax,Special Tax Fees/Levy,L,30.7,69.3,Fail,Majority,2002,General,11/5/2002 0:00
Tulare,Tulare,PLF Debt,Utility Users Tax: Increase Tax Cap by $150/Yr,Special Tax Fees/Levy,C,60.1,39.9,Pass,Majority,2002,General,11/5/2002 0:00
Santa Cruz,Santa Cruz,PLF Debt,Transient Occupancy Tax: Increase Tax to 11%,Special Tax Fees/Levy,Q,56,44,Fail,two-thirds,2002,General,11/5/2002 0:00
Santa Cruz,Santa Cruz,PLF Debt,Utility Users Tax: Repeal 7% Tax,Special Tax Fees/Levy,P,25,75,Fail,Majority,2002,General,11/5/2002 0:00
Santa Cruz,Santa Cruz County,PLF Debt,Transient Occupancy Tax: Increase Tax to 11%,Special Tax Fees/Levy,O,61,39,Fail,two-thirds,2002,General,11/5/2002 0:00
Santa Cruz,Scotts Valley,PLF Debt,Utility Users Tax: Continue 4% Tax,Special Tax Fees/Levy,R,74.4,25.6,Pass,Majority,2002,General,11/5/2002 0:00
Orange,Seal Beach,PLF Debt,TOT: Increase to 12%,Special Tax Fees/Levy,EE,49.6,50.4,Fail,Majority,2002,General,11/5/2002 0:00
Sonoma,Sebastopol,Sales Tax Revenue Bond,Sales Tax: Increase by 1/8%,Special Tax Fees/Levy,V,66.7,33.3,Pass,Majority,2002,General,11/5/2002 0:00
San Joaquin,Stockton,PLF Debt,Utility Users Tax: Reduce to 2%,Special Tax Fees/Levy,Z,37.2,62.8,Fail,Majority,2002,General,11/5/2002 0:00
Santa Cruz,Watsonville,PLF Debt,Transient Occupancy Tax: Increase Tax to 11%,Special Tax Fees/Levy,T,66,34,Fail,two-thirds,2002,General,11/5/2002 0:00
Humboldt,Fortuna,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,W,67.2,32.8,Pass,Majority,2002,General,11/5/2002 0:00
Santa Clara,Morgan Hill,PLF Debt,TOT: Continue 10%Tax,Special Tax Fees/Levy,C,73.6,26.4,Pass,Majority,2002,General,11/5/2002 0:00
Contra Costa,Lafayette,PLF Debt,TOT: Increase to 9.5%,Special Tax Fees/Levy,F,61.7,38.3,Pass,Majority,2002,General,11/5/2002 0:00
Yuba,Yuba County,PLF Debt,TOT: Impose 10% Tax,Special Tax Fees/Levy,X,52.2,47.8,Pass,Majority,2002,General,11/5/2002 0:00
San Diego,Poway,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,N,54.3,45.7,Pass,Majority,2002,General,11/5/2002 0:00
Contra Costa,Brentwood,PLF Debt,Business License Tax: $100 Per Business,Special Tax Fees/Levy,D,62.7,37.3,Pass,Majority,2002,General,11/5/2002 0:00
Stanislaus,Ceres,PLF Debt,TOT: Increase to 8%,Special Tax Fees/Levy,A,44.9,55.1,Fail,Majority,2002,General,11/5/2002 0:00
San Mateo,Pacifica,PLF Debt,Utility Users Tax: Validate $500 Cap,Special Tax Fees/Levy,D,66.2,33.8,Pass,Majority,2002,General,11/5/2002 0:00
Amador,Jackson,PLF Debt,TOT: Impose 7% Tax,Special Tax Fees/Levy,E,51,49,Pass,Majority,2002,General,11/5/2002 0:00
San Luis Obispo,Atascadero,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,K-02,67,33,Pass,Majority,2002,General,11/5/2002 0:00
Yolo,West Sacramento,Sales Tax Revenue Bond,Sales Tax: Impose 1/2% Tax,Special Tax Fees/Levy,K,64.5,35.5,Pass,Majority,2002,General,11/5/2002 0:00
Orange,Garden Grove,PLF Debt,TOT: Increase to 13%,Special Tax Fees/Levy,N,55.6,44.4,Pass,Majority,2002,General,11/5/2002 0:00
Monterey,Greenfield,PLF Debt,Utility Users Tax: Reduce to 3%,Special Tax Fees/Levy,G,67.3,32.7,Pass,Majority,2002,General,11/5/2002 0:00
Fresno,Fowler,PLF Debt,Utility Users Tax: Extend for 4 Yrs,Special Tax Fees/Levy,I,52.3,47.7,Pass,Majority,2002,General,11/5/2002 0:00
San Joaquin,Ripon,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,V,69.5,30.5,Pass,Majority,2002,General,11/5/2002 0:00
Monterey,Seaside,PLF Debt,"Utility Users Tax: Reduce to 4% in 2003, 3% in 2004",Special Tax Fees/Levy,S,47.7,52.3,Fail,Majority,2002,General,11/5/2002 0:00
San Mateo,East Palo Alto,PLF Debt,Utility Users Tax: Continue 5% Tax Until 2006,Special Tax Fees/Levy,H,50.4,49.6,Pass,Majority,2002,General,11/5/2002 0:00
Orange,Los Alamitos,PLF Debt,Utility Users Tax: Continue 6% Tax,Special Tax Fees/Levy,Q,67.6,32.4,Pass,Majority,2002,General,11/5/2002 0:00
Los Angeles,Pico Rivera,PLF Debt,Utility Users Tax: Continue 5% Tax,Special Tax Fees/Levy,P,64.5,35.5,Pass,Majority,2002,General,11/5/2002 0:00
Ventura,Santa Paula,PLF Debt,TOT: Increase to 10%,Special Tax Fees/Levy,E,55.2,44.8,Pass,Majority,2002,General,11/5/2002 0:00
El Dorado,South Lake Tahoe,PLF Debt,TOT: Increase by $1 to $1.50 Per Room for 5 Years,Special Tax Fees/Levy,Z,56.1,43.9,Pass,Majority,2002,General,11/5/2002 0:00
San Bernardino,Yucca Valley,PLF Debt,TOT: Increase to 9%,Special Tax Fees/Levy,F,34.4,65.6,Fail,Majority,2002,General,11/5/2002 0:00
Alameda,Castro Valley,PLF Debt,Utility Users Tax/Transient Occupancy Tax: Impose .5%/10%,Special Tax Fees/Levy,Q,27.9,72.1,Fail,Majority,2002,General,11/5/2002 0:00
Contra Costa,Danville,PLF Debt,Business License Tax: Min. $100,Special Tax Fees/Levy,M,67.1,32.9,Pass,Majority,2002,Primary,3/5/2002 0:00
Yolo,Woodland,Sales Tax Revenue Bond,Sales Tax: Extend Current 0.5%,Special Tax Fees/Levy,G,29.2,70.8,Fail,Majority,2002,Primary,3/5/2002 0:00
Orange,Huntington Beach,PLF Debt,Utility Users Tax: Partial Repeal of Exemption,Special Tax Fees/Levy,HH,34.4,65.6,Fail,Majority,2002,Primary,3/5/2002 0:00
Kern,Kern County,PLF Debt,TOT: Maintain Tax of 10%,Special Tax Fees/Levy,D,35.7,64.3,Fail,Majority,2002,Primary,3/5/2002 0:00
Orange,La Habra,PLF Debt,Utility Users Tax: Continuation,Special Tax Fees/Levy,II,50.7,49.3,Pass,Majority,2002,Primary,3/5/2002 0:00
San Joaquin,Manteca,PLF Debt,TOT: Continuation,Special Tax Fees/Levy,Q,60.4,39.6,Pass,Majority,2002,Primary,3/5/2002 0:00
Santa Cruz,Santa Cruz County,PLF Debt,Utility Users Tax: Repeal 7% Tax,Special Tax Fees/Levy,L,55.2,44.8,Pass,Majority,2002,Primary,3/5/2002 0:00
San Joaquin,Stockton,PLF Debt,Utility Users Tax: Reduce from 8% to 6%,Special Tax Fees/Levy,I,44.4,55.6,Fail,Majority,2002,Primary,3/5/2002 0:00
Solano,Suisun City,PLF Debt,TOT: Impose 10% Tax,Special Tax Fees/Levy,D,71.7,28.3,Pass,Majority,2002,Primary,3/5/2002 0:00
San Joaquin,Tracy,PLF Debt,TOT: Continuation,Special Tax Fees/Levy,N,68.3,31.7,Pass,Majority,2002,Primary,3/5/2002 0:00
Ventura,Ventura County,PLF Debt,Business License Tax: Continuation,Special Tax Fees/Levy,T,56.8,43.2,Pass,Majority,2002,Primary,3/5/2002 0:00
State of California,State of California,General Obligation Bond,"$200,000,000 ",Special Tax Fees/Levy,41,51.5,48.5,Pass,Majority,2002,Primary,3/5/2002 0:00
Santa Clara,Cupertino,PLF Debt,Utility Users Tax: Continuation,Special Tax Fees/Levy,M,60.6,39.4,Pass,Majority,2002,Primary,3/5/2002 0:00
Trinity,Trinity County,PLF Debt,TOT: Increase from 5% to 10%,Special Tax Fees/Levy,B,34.2,65.8,Fail,Majority,2002,Primary,3/5/2002 0:00
Amador,Sutter Creek,PLF Debt,TOT: Increase from 7.25% to 10%,Special Tax Fees/Levy,B,55.6,44.4,Pass,Majority,2002,Primary,3/5/2002 0:00
Orange,La Palma,PLF Debt,Utility Users Tax: Continuation,Special Tax Fees/Levy,JJ,66.2,33.8,Pass,Majority,2002,Primary,3/5/2002 0:00
Mendocino,Brooktrails Township Community Services District,Special Assessment Bond,Special Tax: Increase,Special Tax Fees/Levy,Q,57.1,42.9,Fail,two-thirds,2002,Primary,3/5/2002 0:00
Nevada,North Lake Tahoe,PLF Debt,TOT: Increase from 8% to 10%,Special Tax Fees/Levy,C,63.4,36.6,Pass,Majority,2002,Primary,3/5/2002 0:00
San Bernardino,Rim of the World,PLF Debt,Parcel Tax of $10,Special Tax Fees/Levy,O,45.2,54.8,Fail,two-thirds,2002,Primary,3/5/2002 0:00
Alameda,Alameda County,PLF Debt,Extend 5.5% Utility Tax,Special Tax Fees/Levy,A,72.8,27.2,Pass,Majority,2000,General,11/7/2000 0:00
Kings,Avenal,PLF Debt,Increase TOT from 6% to 10%,Special Tax Fees/Levy,A,39.6,60.4,Fail,Majority,2000,General,11/7/2000 0:00
Alameda,Berkeley,PLF Debt,Increase Business License Tax,Special Tax Fees/Levy,U,77.7,22.3,Pass,Majority,2000,General,11/7/2000 0:00
Orange,Costa Mesa,PLF Debt,Increase TOT from 6% to 8%,Special Tax Fees/Levy,O,52.5,47.5,Fail,two-thirds,2000,General,11/7/2000 0:00
Fresno,Fresno,PLF Debt,TOT: Increase from 12% to 13%,Special Tax Fees/Levy,C,29.8,70.2,Fail,Majority,2000,General,11/7/2000 0:00
Santa Clara,Gilroy,PLF Debt,Increase TOT from 9% to 10%,Special Tax Fees/Levy,Q,45.5,54.5,Fail,Majority,2000,General,11/7/2000 0:00
Santa Clara,Gilroy,PLF Debt,5% Admissions Tax on Certain Events,Special Tax Fees/Levy,R,25.4,74.6,Fail,Majority,2000,General,11/7/2000 0:00
Los Angeles,Hawthorne,PLF Debt,Increase TOT from 8% to 12%,Special Tax Fees/Levy,H,38.5,61.5,Fail,Majority,2000,General,11/7/2000 0:00
Yolo,Yolo County,PLF Debt,Increase TOT from 8% to 12%,Special Tax Fees/Levy,P,38.4,61.6,Fail,Majority,2000,General,11/7/2000 0:00
Orange,Huntington Beach,PLF Debt,Expand Utility Tax,Special Tax Fees/Levy,Q,45.9,54.1,Fail,Majority,2000,General,11/7/2000 0:00
Riverside,Indian Wells,PLF Debt,Admissions Tax Ranging from 3% to 7%,Special Tax Fees/Levy,H,65.1,34.9,Pass,Majority,2000,General,11/7/2000 0:00
Los Angeles,Long Beach,PLF Debt,Reduce Utility Tax,Special Tax Fees/Levy,J,69.6,30.4,Pass,Majority,2000,General,11/7/2000 0:00
Contra Costa,Clayton,PLF Debt,2.4% Excise Tax on Gas and Electricity,Special Tax Fees/Levy,P,26.5,73.5,Fail,Majority,2000,General,11/7/2000 0:00
Santa Clara,Milpitas,PLF Debt,TOT: Increase from 8% to 10%,Special Tax Fees/Levy,I,59,41,Pass,Majority,2000,General,11/7/2000 0:00
Stanislaus,Modesto,PLF Debt,TOT: Increase from 9% to 11%,Special Tax Fees/Levy,F,46.9,53.1,Fail,Majority,2000,General,11/7/2000 0:00
Napa,Napa County,PLF Debt,TOT: Increase Tax from 10.5% to 12%,Special Tax Fees/Levy,I,63.7,36.3,Fail,two-thirds,2000,General,11/7/2000 0:00
Placer,Placer County,Sales Tax Revenue Bond,Sales Tax: Increase Tax from 7.25% to 7.5%,Special Tax Fees/Levy,W,27.4,72.6,Fail,Majority,2000,General,11/7/2000 0:00
San Bernardino,Redlands,PLF Debt,Increasing Special Tax,Special Tax Fees/Levy,L,42.7,57.3,Fail,two-thirds,2000,General,11/7/2000 0:00
San Francisco,San Francisco City & County,PLF Debt,Business Tax Revision,Special Tax Fees/Levy,Prop I,36.3,63.7,Fail,Majority,2000,General,11/7/2000 0:00
Monterey,King City,PLF Debt,Utility Users Tax: Apply Tax to Cell Phones and Increase to 3%,Special Tax Fees/Levy,H,28.5,71.5,Fail,Majority,2000,General,11/7/2000 0:00
Santa Barbara,Santa Barbara,PLF Debt,Increase TOT from 10% to 12%,Special Tax Fees/Levy,B,70.8,29.2,Pass,Majority,2000,General,11/7/2000 0:00
Santa Cruz,Santa Cruz,PLF Debt,Increase TOT from 10% to 12%,Special Tax Fees/Levy,U,54,46,Fail,two-thirds,2000,General,11/7/2000 0:00
Sonoma,Santa Rosa,PLF Debt,Increase TOT from 9% to 12%,Special Tax Fees/Levy,J,43.2,56.8,Fail,Majority,2000,General,11/7/2000 0:00
Sonoma,Sebastopol,PLF Debt,Increase TOT from 6% to 10%,Special Tax Fees/Levy,P,67.6,32.4,Pass,Majority,2000,General,11/7/2000 0:00
Sonoma,Sebastopol,Sales Tax Revenue Bond,Increase Sales Tax by 0.125%,Special Tax Fees/Levy,Q,50.4,49.6,Fail,two-thirds,2000,General,11/7/2000 0:00
Sonoma,Sonoma County,PLF Debt,Increase TOT from 9% to 12%,Special Tax Fees/Levy,H,37.4,62.6,Fail,Majority,2000,General,11/7/2000 0:00
San Joaquin,Stockton,PLF Debt,TOT: Increase from 8% to 9%,Special Tax Fees/Levy,Z,47.1,52.9,Fail,Majority,2000,General,11/7/2000 0:00
Alameda,San Leandro,PLF Debt,Repeal 0.6% Real Property Transfer Tax,Special Tax Fees/Levy,G,37.4,62.6,Fail,Majority,2000,General,11/7/2000 0:00
Tehama,Tehama County,PLF Debt,Repeal $13.50 Landfill Tax,Special Tax Fees/Levy,C,55.3,44.7,Pass,Majority,2000,General,11/7/2000 0:00
Mendocino,Ukiah,PLF Debt,Increase TOT from 8% to 10%,Special Tax Fees/Levy,M,44.3,55.7,Fail,Majority,2000,General,11/7/2000 0:00
State of California,State of California,General Obligation Bond,"$500,000,000 ",Special Tax Fees/Levy,PROP 32,67.2,32.8,Pass,Majority,2000,General,11/7/2000 0:00
State of California,State of California,PLF Debt,Fees. Vote Requirements. Taxes.,Special Tax Fees/Levy,PROP 37,48,52,Fail,Majority,2000,General,11/7/2000 0:00
State of California,State of California,PLF Debt,School Facilities. 55% Local Vote.,Special Tax Fees/Levy,PROP 39,53.3,46.7,Pass,Majority,2000,General,11/7/2000 0:00
Los Angeles,El Segundo,PLF Debt,10% Gross ReceiptsTax for Parking Services,Special Tax Fees/Levy,D,63.9,36.1,Fail,two-thirds,2000,General,11/7/2000 0:00
Yuba,Yuba County,PLF Debt,Impose a Transient Occupancy Tax,Special Tax Fees/Levy,S,46.6,53.4,Fail,Majority,2000,General,11/7/2000 0:00
